Time,Pressure,Temperature,Light,Sound
s,kPa,°C,lx,dBA
,,,,
647.04,96.3,13.1,120,40
648,96.3,13,122,70.1
648.96,96.3,13,120,70.8
649.92,96.3,12.9,109,61.7
650.88,96.3,12.8,87,57.1
651.84,96.3,12.8,83,59.6
652.8,96.3,12.8,72,63.3
653.76,96.3,12.7,77,57.8
654.72,96.3,12.7,95,40
655.68,96.3,12.6,117,40
656.64,96.3,12.6,123,40
657.6,96.3,12.6,123,40
658.56,96.3,12.5,123,40
659.52,96.3,12.5,123,68.1
660.48,96.3,12.4,124,43.8
661.44,96.3,12.4,128,40
662.4,96.3,12.4,120,40
663.36,96.3,12.3,104,74.1
664.32,96.3,12.3,89,65.8
665.28,96.3,12.2,88,55.7
666.24,96.3,12.2,101,63.2
667.2,96.3,12.2,121,40
668.16,96.3,12.2,124,61.9
669.12,96.3,12.1,123,70.7
670.08,96.3,12.1,123,59
671.04,96.3,12,123,51.2
672,96.3,12,117,66.3
672.96,96.3,12,105,68.1
673.92,96.3,12,101,58.9
674.88,96.3,12,111,44.6
675.84,96.3,11.9,121,66.1
676.8,96.3,11.9,125,43.6
677.76,96.3,11.9,126,40
678.72,96.3,11.9,126,56.6
679.68,96.3,11.8,125,46.7
680.64,96.3,11.8,109,69.1
681.6,96.3,11.8,105,74.3
682.56,96.3,11.8,119,58.1
683.52,96.3,11.8,115,40
684.48,96.3,11.8,119,62.4
685.44,96.3,11.7,116,67.2
686.4,96.3,11.7,102,80.7
687.36,96.3,11.7,97,57.8
688.32,96.3,11.7,97,40
689.28,96.3,11.6,91,72.5
690.24,96.3,11.6,93,40
691.2,96.3,11.6,102,75.3
692.16,96.3,11.6,111,40
693.12,96.3,11.6,112,40
694.08,96.3,11.6,111,40
695.04,96.3,11.6,111,52.9
696,96.3,11.5,115,70.8
696.96,96.3,11.5,133,62.1
697.92,96.3,11.5,136,72.4
698.88,96.3,11.5,137,55.1
699.84,96.3,11.5,138,63.3
700.8,96.3,11.4,137,71
701.76,96.3,11.4,134,44.6
702.72,96.3,11.4,104,47.3
703.68,96.3,11.4,95,55.6
704.64,96.3,11.4,94,70.3
705.6,96.3,11.4,94,63.3
706.56,96.3,11.4,93,68.1
707.52,96.3,11.4,92,49.2
708.48,96.3,11.3,96,40
709.44,96.3,11.3,96,40
710.4,96.3,11.3,96,40
711.36,96.3,11.3,96,40
712.32,96.3,11.3,96,40
713.28,96.3,11.3,96,43.7
714.24,96.3,11.3,96,40
715.2,96.3,11.3,96,40
716.16,96.3,11.3,96,40
717.12,96.3,11.3,96,40
718.08,96.3,11.3,96,68.4
719.04,96.3,11.3,98,72
720,96.3,11.2,97,40
720.96,96.3,11.2,97,40
721.92,96.3,11.2,100,40
722.88,96.3,11.2,96,40
723.84,96.3,11.2,96,40
724.8,96.3,11.2,96,40
725.76,96.3,11.2,93,40
726.72,96.3,11.2,80,83.1
727.68,96.3,11.2,71,71.3
728.64,96.3,11.2,70,77.5
729.6,96.3,11.2,58,79
730.56,96.3,11.2,54,75.2
731.52,96.3,11.2,54,72.2
732.48,96.3,11.1,53,69.2
733.44,96.3,11.1,55,68.1
734.4,96.3,11.1,56,66.1
735.36,96.3,11.1,58,68.9
736.32,96.3,11.1,58,72.7
737.28,96.3,11.1,58,72
738.24,96.3,11.1,56,73.9
739.2,96.3,11.1,58,73.5
740.16,96.3,11.1,56,74.7
741.12,96.3,11.1,53,79.8
742.08,96.3,11,51,70.2
743.04,96.3,11,51,70.2
744,96.3,11,51,40
744.96,96.3,11,51,40
745.92,96.3,11,75,66.8
746.88,96.3,11,94,62.7
747.84,96.3,11,97,66.7
748.8,96.3,11,82,67.9
749.76,96.3,11,92,62.7
750.72,96.3,11,97,53.5
751.68,96.5,11,94,71.5
752.64,96.3,11,93,40
753.6,96.3,11,90,69.9
754.56,96.3,11,80,64.5
755.52,96.3,11,88,61.7
756.48,96.5,11,71,40
757.44,96.5,11,58,73.8
758.4,96.5,11,55,68.9
759.36,96.3,11,55,68.4
760.32,96.3,10.9,57,68.4
761.28,96.3,10.9,55,62.2
762.24,96.5,10.9,55,60.2
763.2,96.5,10.9,55,58.9
764.16,96.5,10.9,54,61.3
765.12,96.3,10.9,55,57.1
766.08,96.3,10.9,56,57.3
767.04,96.5,10.9,56,55.3
768,96.5,10.9,59,52.8
768.96,96.3,10.9,58,53.9
769.92,96.5,10.9,61,50.4
770.88,96.5,10.9,61,80.2
771.84,96.5,10.9,61,52.4
772.8,96.5,10.9,70,67.2
773.76,96.5,10.9,62,67.9
774.72,96.5,10.9,82,68.9
775.68,96.5,10.9,84,67.8
776.64,96.5,10.9,94,45.3
777.6,96.5,10.9,95,82.2
778.56,96.5,10.9,85,73.9
779.52,96.5,10.9,92,40
780.48,96.5,10.9,94,46.2
781.44,96.5,10.9,82,76
782.4,96.5,10.9,66,62.7
783.36,96.5,10.9,76,76.4
784.32,96.5,10.9,95,49.3
785.28,96.5,10.9,111,68.1
786.24,96.5,10.9,113,40
